"Proportion of deaths due to each cause, by sex, age group and state/territory, 2020, 2021, and 2022",,,,,,,,,,,,,,,,,,
,,,COVID-19,,,,,,,,Other Causes ,,,,,,,
Year,Sex,Age,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,NSW,Vic,Qld,SA,WA,Tas,NT,ACT
2021,Male,0-4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Male,5-Sep,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Male,Oct-14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Male,15-19,0.024328017,0,0,0,0,0,0,0,0.975671983,1,1,1,1,1,1,1
2021,Male,20-24,0.008021194,0,0,0,0,0,0,0,0.991978806,1,1,1,1,1,1,1
2021,Male,25-29,0.006048769,0,0,0,0,0,0,0,0.993951231,1,1,1,1,1,1,1
2021,Male,30-34,0.00519683,0,0,0,0,0,0,0,0.99480317,1,1,1,1,1,1,1
2021,Male,35-39,0.018146308,0,0,0,0,0,0,0,0.981853692,1,1,1,1,1,1,1
2021,Male,40-44,0.006896728,0,0,0,0,0,0,0,0.993103272,1,1,1,1,1,1,1
2021,Male,45-49,0.020613124,0.016302982,0,0,0,0,0,0,0.979386876,0.983697018,1,1,1,1,1,1
2021,Male,50-54,0.017051473,0.012006467,0,0,0,0,0,0,0.982948527,0.987993533,1,1,1,1,1,1
2021,Male,55-59,0.023101039,0.012389775,0,0,0,0,0,0,0.976898961,0.987610225,1,1,1,1,1,1
2021,Male,60-64,0.015078851,0.017109883,0,0,0,0,0,0,0.984921149,0.982890117,1,1,1,1,1,1
2021,Male,65-69,0.021306072,0.021983047,0,0,0,0,0,0.018153228,0.978693928,0.978016953,1,1,1,1,1,0.981846772
2021,Male,70-74,0.013761577,0.022820946,0,0,0,0,0,0,0.986238423,0.977179054,1,1,1,1,1,1
2021,Male,75-79,0.013211868,0.022120586,0.000222793,0.001274499,0,0,0,0,0.986788132,0.977879414,0.999777207,0.998725501,1,1,1,1
2021,Male,80-84,0.012756472,0.022669901,0.000195072,0,0,0,0,0.015501633,0.987243528,0.977330099,0.999804928,1,1,1,1,0.984498367
2021,Male,85-89,0.01149138,0.018963364,0,0,0,0,0,0,0.98850862,0.981036636,1,1,1,1,1,1
2021,Male,90-94,0.007519869,0.016637937,0,0,0,0,0,0.00985461,0.992480131,0.983362063,1,1,1,1,1,0.99014539
2021,Male,95-99,0.00831649,0.010626661,0,0,0,0,0,0,0.99168351,0.989373339,1,1,1,1,1,1
2021,Male,100+,0,0.024576136,0,0,0,0,0,0,1,0.975423864,1,1,1,1,1,1
2021,Male,Total,0.013016857,0.018294742,6.09E-05,0.000149677,0,0,0,0.004922909,0.986983143,0.981705258,0.999939102,0.999850323,1,1,1,0.995077091
2021,Female,0-4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Female,5-Sep,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Female,Oct-14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Female,15-19,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Female,20-24,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2021,Female,25-29,0.05723153,0,0,0,0,0,0,0,0.94276847,1,1,1,1,1,1,1
2021,Female,30-34,0.024864635,0.012804937,0,0,0,0,0,0,0.975135365,0.987195063,1,1,1,1,1,1
2021,Female,35-39,0.007792086,0,0,0,0,0,0,0,0.992207914,1,1,1,1,1,1,1
2021,Female,40-44,0.005371244,0,0,0,0,0,0,0,0.994628756,1,1,1,1,1,1,1
2021,Female,45-49,0.003293084,0.013009,0.015368387,0,0,0,0,0,0.996706916,0.986991,0.984631613,1,1,1,1,1
2021,Female,50-54,0.016102565,0.014828606,0,0,0,0,0,0,0.983897435,0.985171394,1,1,1,1,1,1
2021,Female,55-59,0.013754539,0.013954098,0,0,0,0,0,0,0.986245461,0.986045902,1,1,1,1,1,1
2021,Female,60-64,0.011142762,0.015548853,0,0,0,0,0,0,0.988857238,0.984451147,1,1,1,1,1,1
2021,Female,65-69,0.01297248,0.01707325,0,0,0,0,0,0,0.98702752,0.98292675,1,1,1,1,1,1
2021,Female,70-74,0.015606153,0.022743098,0,0,0,0,0,0,0.984393847,0.977256902,1,1,1,1,1,1
2021,Female,75-79,0.008000551,0.021166811,0,0,0,0,0,0.004674961,0.991999449,0.978833189,1,1,1,1,1,0.995325039
2021,Female,80-84,0.009533452,0.015132318,0,0,0,0,0.074746248,0.002033912,0.990466548,0.984867682,1,1,1,1,0.925253752,0.997966088
2021,Female,85-89,0.009224479,0.012349269,0,0,0,0,0,0.000937792,0.990775521,0.987650731,1,1,1,1,1,0.999062208
2021,Female,90-94,0.005517526,0.013359664,0,0.001560539,0,0,0,0,0.994482474,0.986640336,1,0.998439461,1,1,1,1
2021,Female,95-99,0.005607143,0.010143706,0,0,0,0,0,0,0.994392857,0.989856294,1,1,1,1,1,1
2021,Female,100+,0.001676479,0.016210506,0,0,0,0,0,0,0.998323521,0.983789494,1,1,1,1,1,1
2021,Female,Total,0.008811808,0.014565163,0.000206689,0.000313043,0,0,0.006781103,0.001040112,0.991188192,0.985434837,0.999793311,0.999686957,1,1,0.993218897,0.998959888
2022,Male,0-4,0.018,0,0,0,0,0,0,0,0.982,1,1,1,1,1,1,1
2022,Male,5-Sep,0.223,0,0,0,0,0,0,0,0.777,1,1,1,1,1,1,1
2022,Male,Oct-14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2022,Male,15-19,0,0,0.017,0,0.13,0,0,0,1,1,0.983,1,0.87,1,1,1
2022,Male,20-24,0.016,0.017,0,0,0,0,0,0.228,0.984,0.983,1,1,1,1,1,0.772
2022,Male,25-29,0,0.007,0,0,0,0,0,0,1,0.993,1,1,1,1,1,1
2022,Male,30-34,0.018,0.01,0.026,0.05,0,0,0,0,0.982,0.99,0.974,0.95,1,1,1,1
2022,Male,35-39,0.003,0.014,0.014,0,0.008,0,0,0,0.997,0.986,0.986,1,0.992,1,1,1
2022,Male,40-44,0.003,0.01,0.008,0.022,0.018,0.149,0,0.173,0.997,0.99,0.992,0.978,0.982,0.851,1,0.827
2022,Male,45-49,0.016,0.005,0.003,0.033,0.016,0.02,0,0,0.984,0.995,0.997,0.967,0.984,0.98,1,1
2022,Male,50-54,0.018,0.021,0.025,0.016,0.014,0,0.039,0,0.982,0.979,0.975,0.984,0.986,1,0.961,1
2022,Male,55-59,0.025,0.016,0.016,0.014,0.013,0,0.042,0.034,0.975,0.984,0.984,0.986,0.987,1,0.958,0.966
2022,Male,60-64,0.026,0.022,0.025,0.017,0.007,0.006,0,0.039,0.974,0.978,0.975,0.983,0.993,0.994,1,0.961
2022,Male,65-69,0.042,0.039,0.036,0.022,0.021,0.026,0.034,0.031,0.958,0.961,0.964,0.978,0.979,0.974,0.966,0.969
2022,Male,70-74,0.049,0.056,0.041,0.037,0.023,0.037,0.039,0.072,0.951,0.944,0.959,0.963,0.977,0.963,0.961,0.928
2022,Male,75-79,0.064,0.066,0.045,0.051,0.038,0.024,0.034,0.069,0.936,0.934,0.955,0.949,0.962,0.976,0.966,0.931
2022,Male,80-84,0.07,0.081,0.057,0.057,0.039,0.069,0.043,0.054,0.93,0.919,0.943,0.943,0.961,0.931,0.957,0.946
2022,Male,85-89,0.094,0.079,0.064,0.064,0.052,0.058,0.022,0.076,0.906,0.921,0.936,0.936,0.948,0.942,0.978,0.924
2022,Male,90-94,0.094,0.096,0.077,0.066,0.053,0.041,0.095,0.067,0.906,0.904,0.923,0.934,0.947,0.959,0.905,0.933
2022,Male,95-99,0.097,0.102,0.085,0.081,0.063,0.056,0,0.188,0.903,0.898,0.915,0.919,0.937,0.944,1,0.812
